               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.099348,             0.16435,                   0,             0.65387,             0.51035,             0.55384,             0.28345,            0.088121,             0.14706,                   0,           0.0001486,           0.0001486,           0.0001486
                  88,            0.099364,             0.16126,                   0,             0.65012,             0.51502,             0.55455,             0.28353,            0.088126,             0.14693,                   0,           0.0001387,           0.0001387,           0.0001387
                  89,            0.099259,              0.1591,                   0,             0.65072,             0.50568,             0.54915,             0.28185,            0.088141,             0.14655,                   0,           0.0001288,           0.0001288,           0.0001288
                  90,            0.099439,              0.1615,                   0,             0.65548,             0.51022,             0.55468,             0.28487,            0.088082,             0.14703,                   0,           0.0001189,           0.0001189,           0.0001189
                  91,              0.1001,             0.16269,                   0,             0.65476,             0.51299,              0.5545,              0.2846,            0.088113,             0.14729,                   0,            0.000109,            0.000109,            0.000109
                  92,             0.10017,              0.1613,                   0,             0.65414,              0.5168,             0.55492,             0.28466,            0.088133,             0.14793,                   0,            9.91e-05,            9.91e-05,            9.91e-05
                  93,            0.099841,             0.16163,                   0,             0.64971,             0.51726,             0.55576,             0.28481,            0.088123,             0.14766,                   0,            8.92e-05,            8.92e-05,            8.92e-05
                  94,            0.099308,             0.16263,                   0,             0.65221,             0.51726,             0.55568,             0.28532,            0.088081,             0.14744,                   0,            7.93e-05,            7.93e-05,            7.93e-05
                  95,            0.099609,             0.16002,                   0,             0.64994,             0.51372,             0.55408,              0.2848,            0.088073,             0.14723,                   0,            6.94e-05,            6.94e-05,            6.94e-05
                  96,             0.10041,             0.16281,                   0,             0.65298,             0.51543,             0.55654,             0.28594,            0.088042,             0.14722,                   0,            5.95e-05,            5.95e-05,            5.95e-05
                  97,             0.09869,             0.16024,                   0,             0.64866,             0.51482,             0.55468,             0.28443,            0.088068,             0.14735,                   0,            4.96e-05,            4.96e-05,            4.96e-05
                  98,            0.099426,             0.16146,                   0,             0.64818,             0.51177,             0.55484,             0.28532,            0.088037,             0.14649,                   0,            3.97e-05,            3.97e-05,            3.97e-05
                  99,            0.099702,             0.16341,                   0,             0.65484,             0.51177,             0.55562,             0.28616,            0.088017,             0.14679,                   0,            2.98e-05,            2.98e-05,            2.98e-05
