epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,153.332,2.20898,1.38493,0,0.52813,0.42382,0.4252,0.17658,2.17965,1.37583,0,0.00196491,0.00196491,0.00196491
87,155.347,2.20916,1.38594,0,0.49203,0.38729,0.37243,0.13997,2.35264,1.45976,0,0.00196409,0.00196409,0.00196409
88,157.042,2.20628,1.38834,0,0.53952,0.40921,0.41529,0.1642,2.19446,1.38786,0,0.00196325,0.00196325,0.00196325
89,158.735,2.20445,1.37367,0,0.52234,0.40792,0.40829,0.16502,2.2358,1.36631,0,0.00196241,0.00196241,0.00196241
90,160.499,2.26432,1.38617,0,0.50283,0.41447,0.40088,0.16463,2.2275,1.37284,0,0.00196155,0.00196155,0.00196155
91,162.198,2.18626,1.35579,0,0.53988,0.39755,0.42047,0.17215,2.20819,1.36183,0,0.00196069,0.00196069,0.00196069
92,164.078,2.19498,1.35985,0,0.50849,0.41981,0.41538,0.17399,2.15474,1.364,0,0.00195982,0.00195982,0.00195982
93,165.741,2.20297,1.36622,0,0.52712,0.41749,0.42506,0.17564,2.15378,1.36406,0,0.00195894,0.00195894,0.00195894
94,167.291,2.15878,1.35814,0,0.50573,0.41581,0.41399,0.16889,2.21685,1.36633,0,0.00195805,0.00195805,0.00195805
95,168.935,2.15791,1.34373,0,0.52416,0.41406,0.41978,0.17465,2.16377,1.36243,0,0.00195714,0.00195714,0.00195714
96,170.593,2.17447,1.33897,0,0.53035,0.42482,0.42759,0.17512,2.1719,1.35306,0,0.00195624,0.00195624,0.00195624
97,172.461,2.16548,1.33011,0,0.53274,0.41481,0.42266,0.17651,2.16435,1.34279,0,0.00195532,0.00195532,0.00195532
98,174.256,2.15542,1.3387,0,0.54202,0.43332,0.43532,0.18193,2.13016,1.34579,0,0.00195439,0.00195439,0.00195439
99,175.997,2.12638,1.32949,0,0.55272,0.43833,0.45117,0.19432,2.10233,1.31294,0,0.00195345,0.00195345,0.00195345
100,177.787,2.13859,1.33216,0,0.53873,0.42182,0.43502,0.18386,2.13576,1.33284,0,0.0019525,0.0019525,0.0019525
101,179.511,2.13716,1.33301,0,0.52889,0.43232,0.43896,0.18722,2.10624,1.31454,0,0.00195155,0.00195155,0.00195155
102,181.477,2.10179,1.31629,0,0.51373,0.42457,0.42655,0.18268,2.11988,1.34028,0,0.00195058,0.00195058,0.00195058
103,183.164,2.09241,1.31179,0,0.53482,0.43002,0.43001,0.17871,2.1521,1.33532,0,0.00194961,0.00194961,0.00194961
104,184.902,2.13739,1.32019,0,0.53862,0.44408,0.44642,0.19127,2.10261,1.31851,0,0.00194862,0.00194862,0.00194862
105,186.821,2.1263,1.32184,0,0.53335,0.43207,0.43827,0.1875,2.1006,1.33097,0,0.00194763,0.00194763,0.00194763
106,188.497,2.07516,1.30969,0,0.54093,0.43032,0.4398,0.188,2.10717,1.31155,0,0.00194662,0.00194662,0.00194662
107,190.4,2.09282,1.31077,0,0.55009,0.4307,0.43971,0.19238,2.09933,1.32255,0,0.00194561,0.00194561,0.00194561
108,192.166,2.09885,1.3148,0,0.54464,0.42982,0.44231,0.19605,2.06105,1.30868,0,0.00194459,0.00194459,0.00194459
109,193.918,2.11151,1.30528,0,0.5653,0.44233,0.45711,0.20345,2.04362,1.30222,0,0.00194356,0.00194356,0.00194356
110,195.687,2.0578,1.31572,0,0.54523,0.44063,0.45302,0.2018,2.06167,1.28454,0,0.00194252,0.00194252,0.00194252
111,197.391,2.06248,1.3106,0,0.54808,0.44997,0.45455,0.20047,2.06105,1.27941,0,0.00194147,0.00194147,0.00194147
112,199.279,2.04952,1.30133,0,0.55278,0.43032,0.44581,0.1951,2.05942,1.30582,0,0.00194041,0.00194041,0.00194041
